model,bin_lo,bin_hi,n,mean_conf,accuracy
OLMo-3 7B,0.0,0.1,0,,
OLMo-3 7B,0.1,0.2,0,,
OLMo-3 7B,0.2,0.3,22,0.2854,0.2273
OLMo-3 7B,0.3,0.4,225,0.3567,0.2533
OLMo-3 7B,0.4,0.5,267,0.4513,0.3708
OLMo-3 7B,0.5,0.6,192,0.5473,0.4583
OLMo-3 7B,0.6,0.7,143,0.6487,0.5944
OLMo-3 7B,0.7,0.8,86,0.7502,0.6512
OLMo-3 7B,0.8,0.9,58,0.8493,0.8448
OLMo-3 7B,0.9,1.0,37,0.9457,0.973
OLMo-3 32B,0.0,0.1,0,,
OLMo-3 32B,0.1,0.2,0,,
OLMo-3 32B,0.2,0.3,9,0.289,0.4444
OLMo-3 32B,0.3,0.4,139,0.3594,0.3094
OLMo-3 32B,0.4,0.5,230,0.4507,0.413
OLMo-3 32B,0.5,0.6,170,0.5491,0.5471
OLMo-3 32B,0.6,0.7,165,0.6492,0.6242
OLMo-3 32B,0.7,0.8,125,0.7478,0.744
OLMo-3 32B,0.8,0.9,84,0.849,0.8333
OLMo-3 32B,0.9,1.0,108,0.944,0.9537
Qwen2.5 7B,0.0,0.1,0,,
Qwen2.5 7B,0.1,0.2,0,,
Qwen2.5 7B,0.2,0.3,14,0.2819,0.5714
Qwen2.5 7B,0.3,0.4,136,0.3605,0.2721
Qwen2.5 7B,0.4,0.5,223,0.4462,0.4574
Qwen2.5 7B,0.5,0.6,193,0.5469,0.5181
Qwen2.5 7B,0.6,0.7,135,0.651,0.6741
Qwen2.5 7B,0.7,0.8,116,0.7495,0.7414
Qwen2.5 7B,0.8,0.9,109,0.8533,0.8624
Qwen2.5 7B,0.9,1.0,104,0.9422,0.9327
Qwen2.5 14B,0.0,0.1,0,,
Qwen2.5 14B,0.1,0.2,0,,
Qwen2.5 14B,0.2,0.3,4,0.2781,0.5
Qwen2.5 14B,0.3,0.4,105,0.3556,0.3238
Qwen2.5 14B,0.4,0.5,210,0.4511,0.5
Qwen2.5 14B,0.5,0.6,164,0.5508,0.5976
Qwen2.5 14B,0.6,0.7,135,0.649,0.6889
Qwen2.5 14B,0.7,0.8,130,0.7512,0.8
Qwen2.5 14B,0.8,0.9,144,0.8472,0.8819
Qwen2.5 14B,0.9,1.0,138,0.9363,0.9783
Qwen2.5 32B,0.0,0.1,0,,
Qwen2.5 32B,0.1,0.2,0,,
Qwen2.5 32B,0.2,0.3,4,0.2905,0.5
Qwen2.5 32B,0.3,0.4,82,0.3611,0.3171
Qwen2.5 32B,0.4,0.5,129,0.4547,0.4729
Qwen2.5 32B,0.5,0.6,149,0.5452,0.604
Qwen2.5 32B,0.6,0.7,131,0.6501,0.7176
Qwen2.5 32B,0.7,0.8,156,0.7509,0.8205
Qwen2.5 32B,0.8,0.9,167,0.8538,0.8683
Qwen2.5 32B,0.9,1.0,212,0.9449,0.9717
