model,temp,mean_tokens_right,mean_tokens_wrong,pct_at_token_cap
OLMo-3 7B,0.0,3.8,3.1,0.0
OLMo-3 7B,0.3,13.6,6.2,0.5
OLMo-3 7B,0.7,31.4,36.8,2.0
OLMo-3 32B,0.0,42.4,34.9,1.5
OLMo-3 32B,0.3,58.9,68.2,3.5
OLMo-3 32B,0.7,111.4,145.3,9.3
Qwen2.5 7B,0.0,712.5,742.3,76.0
Qwen2.5 7B,0.3,621.8,627.5,54.5
Qwen2.5 7B,0.7,415.8,440.2,23.3
Qwen2.5 14B,0.0,706.9,741.7,75.2
Qwen2.5 14B,0.3,618.8,642.0,55.5
Qwen2.5 14B,0.7,419.1,441.1,20.6
Qwen2.5 32B,0.0,498.2,522.7,38.8
Qwen2.5 32B,0.3,493.6,527.5,29.1
Qwen2.5 32B,0.7,427.2,431.1,16.7
