model,temp,Clinical Findings,Diagnosis,Mechanism/Pathophysiology,Next Step/Workup,Treatment/Management,Overall
OLMo-3 7B,0.0,41.75,41.59,54.37,43.2,50.0,46.18
OLMo-3 7B,0.3,37.06,42.23,51.13,43.04,49.03,44.5
OLMo-3 7B,0.7,38.35,38.03,45.95,38.67,44.5,41.1
OLMo-3 32B,0.0,50.97,56.8,62.14,60.19,63.11,58.64
OLMo-3 32B,0.3,48.06,55.18,59.55,60.03,63.92,57.35
OLMo-3 32B,0.7,44.98,50.81,53.88,51.94,52.75,50.87
Qwen2.5 7B,0.0,57.28,65.05,72.33,70.87,74.27,67.96
Qwen2.5 7B,0.3,55.34,66.83,69.74,68.77,71.52,66.44
Qwen2.5 7B,0.7,53.24,55.66,59.71,60.19,59.55,57.67
Qwen2.5 14B,0.0,57.77,65.53,72.98,71.36,74.76,68.48
Qwen2.5 14B,0.3,56.31,63.59,68.12,69.26,72.17,65.89
Qwen2.5 14B,0.7,54.37,60.36,61.81,56.31,63.11,59.19
Qwen2.5 32B,0.0,66.99,70.87,76.21,75.73,77.18,73.4
Qwen2.5 32B,0.3,65.86,67.8,75.24,72.98,76.38,71.65
Qwen2.5 32B,0.7,59.22,61.33,68.93,63.92,69.09,64.5
