model,competency,n,acc,ci_lo,ci_hi
OLMo-3 7B,MK,4323,38.9,37.4,40.3
OLMo-3 7B,DX,4551,39.0,37.6,40.4
OLMo-3 7B,MGMT,3359,41.2,39.5,42.9
OLMo-3 7B,COMM,68,51.5,39.8,62.9
OLMo-3 7B,PROF,88,44.3,34.4,54.7
OLMo-3 7B,SBP,18,61.1,38.6,79.7
OLMo-3 7B,PBL,316,46.8,41.4,52.3
OLMo-3 32B,MK,4323,51.2,49.7,52.7
OLMo-3 32B,DX,4551,52.5,51.1,54.0
OLMo-3 32B,MGMT,3359,51.5,49.8,53.2
OLMo-3 32B,COMM,68,67.6,55.8,77.6
OLMo-3 32B,PROF,88,59.1,48.6,68.8
OLMo-3 32B,SBP,18,77.8,54.8,91.0
OLMo-3 32B,PBL,316,59.2,53.7,64.5
Qwen2.5 7B,MK,4323,52.3,50.9,53.8
Qwen2.5 7B,DX,4551,54.5,53.0,55.9
Qwen2.5 7B,MGMT,3359,53.6,51.9,55.2
Qwen2.5 7B,COMM,68,69.1,57.4,78.8
Qwen2.5 7B,PROF,88,56.8,46.4,66.7
Qwen2.5 7B,SBP,18,66.7,43.7,83.7
Qwen2.5 7B,PBL,316,58.2,52.7,63.5
Qwen2.5 14B,MK,4323,59.7,58.3,61.2
Qwen2.5 14B,DX,4551,62.0,60.5,63.4
Qwen2.5 14B,MGMT,3359,59.9,58.3,61.6
Qwen2.5 14B,COMM,68,77.9,66.7,86.2
Qwen2.5 14B,PROF,88,63.6,53.2,72.9
Qwen2.5 14B,SBP,18,72.2,49.1,87.5
Qwen2.5 14B,PBL,316,65.8,60.4,70.8
Qwen2.5 32B,MK,4323,65.6,64.2,67.0
Qwen2.5 32B,DX,4551,68.2,66.8,69.5
Qwen2.5 32B,MGMT,3359,66.4,64.8,68.0
Qwen2.5 32B,COMM,68,82.4,71.6,89.6
Qwen2.5 32B,PROF,88,75.0,65.0,82.9
Qwen2.5 32B,SBP,18,66.7,43.7,83.7
Qwen2.5 32B,PBL,316,71.8,66.6,76.5
